strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Luxembourg/LNS2005827/2021	EPI_ISL_3146410		BioneXt Lab	Laboratoire national de sante, Microbiology, Microbial Genomics Platform	Anke Wienecke-Baldacchino et al
hCoV-19/Ireland/D-NVRL-M34IRL63432/2021	EPI_ISL_3467646		National Virus Reference Laboratory	National Virus Reference Laboratory	Zoe Yandle et al
hCoV-19/Switzerland/BE-ETHZ-33676053/2021	EPI_ISL_3465038		Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
hCoV-19/Brazil/SP-IB_124773/2021	EPI_ISL_3579429		INSIDE DIAGNÓSTICOS	Instituto Butantan	Dimas Tadeu Covas et al
hCoV-19/Czech_Republic/CSQ0301/2021	EPI_ISL_3332295		Nemocnice Jihlava	University Hospital Brno, CMBG	Matej Bezdicek et al
hCoV-19/Finland/12168/2021	EPI_ISL_3645025		Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura et al
hCoV-19/Romania/B-18318/2021	EPI_ISL_3259606		National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory	National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory	Corina Casangiu et al
hCoV-19/Curacao/CW-RIVM-50225/2021	EPI_ISL_3390714		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Sweden/SUS0003521/2021	EPI_ISL_3545314		Clinical Microbiology, Infection Prevention and Control	Section for Molecular Diagnostics	Björn Hallström et al
hCoV-19/Sweden/SUS0003593/2021	EPI_ISL_3550963		Clinical Microbiology, Infection Prevention and Control	Section for Molecular Diagnostics	Björn Hallström et al
hCoV-19/Germany/BY-RKI-I-198700/2021	EPI_ISL_3497686		Synlab MVZ Augsburg	Robert Koch Institute	?
hCoV-19/Switzerland/VS-ICH-2210667332/2021	EPI_ISL_3016440		Valais Hospital, Central Institute	Valais Hospital, Central Institute	Alexis Dumoulin et al
hCoV-19/Italy/VEN-ULSS3GEN-21RS8073-5_PD/2021	EPI_ISL_3631542		AULSS 6 Euganea	UOSD Genetica e Citogenetica - Azienda ULSS 3 Serenissima; Istituto Zooprofilattico Sperimentale delle Venezie	Mosé Favarato et al
hCoV-19/Liechtenstein/FL-Risch-2181304862/2021	EPI_ISL_3635692		Dr. Risch Ostschweiz AG	Microbiology, Dr. Risch	Nadia Wohlwend et al
hCoV-19/Liechtenstein/FL-Risch-2171601300/2021	EPI_ISL_3388900		Dr. Risch Ostschweiz AG	Microbiology, Dr. Risch	Nadia Wohlwend et al
hCoV-19/Suriname/SR-528/2021	EPI_ISL_3462578		Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink et al
hCoV-19/Belgium/UZA-UA-CV2294657460/2021	EPI_ISL_3534861		Platform BIS UZA/UAntwerpen	Labo Klinische Biologie, UZA	Jasmine Coppens et al
hCoV-19/Liechtenstein/FL-Risch-2171403749/2021	EPI_ISL_3570034		Dr. Risch Ostschweiz AG	Microbiology, Dr. Risch	Nadia Wohlwend et al
hCoV-19/Austria/KILM1063/2021	EPI_ISL_3119330		Lifebrain Covid Labor GmbH	Dept. of Laboratory Medicine	Harald Esterbauer et al
hCoV-19/Luxembourg/LNS0379289/2021	EPI_ISL_3334657		Laboratoire national de sante, 1 rue Louis Rech, L-3555 Dudelange, Luxembourg	Laboratoire national de sante, Microbiology, Microbial Genomics Platform	Anke Wienecke-Baldacchino et al
hCoV-19/France/IDF-IPP18977/2021	EPI_ISL_3506564		Hospital	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/France/ARA-HCL990000354726/2021	EPI_ISL_3473301		CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
hCoV-19/Bulgaria/21BG-NC_003915_R15/2021	EPI_ISL_3233335		National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al
hCoV-19/Kuwait/KCCC-90862-3326764/2021	EPI_ISL_2833781		Adan Hospital	Kuwait Cancer Control Center	Shakir Bahzad et al
hCoV-19/USA/SD-CDC-4182402-001/2021	EPI_ISL_3064770	MZ618215.1	SD Public Health Laboratory	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Mili Sheth et al
hCoV-19/USA/ND-NDDH-3651/2021	EPI_ISL_3548016		North Dakota Department of Health, Public Health Laboratory	North Dakota Department of Health, Public Health Laboratory	Lisa Wingerter et al
hCoV-19/USA/UT-UPHL-210626886987/2021	EPI_ISL_2856965	MZ518734.1	Utah Public Health Laboratory	Utah Public Health Laboratory	Olinto Linares-Perdomo et al
hCoV-19/USA/ME-HETL-J5656/2021	EPI_ISL_3544577		Maine Health and Environmental Testing Laboratory	Tewhey Lab, The Jackson Laboratory	Matluk et al
hCoV-19/USA/WA-CDC-UW21080257426/2021	EPI_ISL_3448995		UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
hCoV-19/USA/NC-CDC-LC0170239/2021	EPI_ISL_3679900		Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Aruba/AW-RIVM-46306/2021	EPI_ISL_3138381		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/USA/TN-CDC-ASC210153921/2021	EPI_ISL_2875746	MZ533338.1	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/NM-NMDOH-2021144088/2021	EPI_ISL_3643189		New Mexico Department of Health Scientific Laboratory	New Mexico Department of Health Scientific Laboratory	Ellie Johnson et al
hCoV-19/USA/ID-BVAMC-740487/2021	EPI_ISL_3156474		Idaho Bureau of Laboratories	Boise VA Medical Center, PALMS	Matthew Burns et al
hCoV-19/USA/AZ-ASU9149/2021	EPI_ISL_3260481		Arizona State University	Arizona State University	Ajeet Bains et al
hCoV-19/USA/OK-CDC-LC0089894/2021	EPI_ISL_3017042	MZ591670.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/MO-CDC-QDX26400621/2021	EPI_ISL_3018473	MZ590897.1	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/IA-CDC-IBX390452624696/2021	EPI_ISL_3658903		Infinity Biologix	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Suriname/SR-522/2021	EPI_ISL_3462741		Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink et al
hCoV-19/USA/DC-CDC-LC0148232/2021	EPI_ISL_3516011		Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/MO-MSPHL-002403/2021	EPI_ISL_2635151		Missouri State Public Health Laboratory	Missouri State Public Health Laboratory	Matthew Sinn et al
hCoV-19/USA/AZ-ASPHL-4968/2021	EPI_ISL_3636616		Arizona State Public Health Laboratory	Arizona State Public Health Laboratory	Trung Huynh et al
hCoV-19/USA/LA-EVTL3813/2021	EPI_ISL_3321243		Willis-Knighton Medical Center Hospital Laboratory	LSUHS Emerging Viral Threat Laboratory	Lorie M. Atkins et al
hCoV-19/USA/MN-MDH-9124/2021	EPI_ISL_3260257	MZ713770.1	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Alexandra Lorentz et al
hCoV-19/USA/MO-UMGC-8233/2021	EPI_ISL_3489269	MZ831445.1	Springfield-Greene County Health Department	University of Minnesota Genomics Center	Daryl M. Gohl et al
hCoV-19/USA/MN-MDH-9872/2021	EPI_ISL_3447611	MZ816302.1	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Alexandra Lorentz et al
hCoV-19/Australia/NSW-R0249/2021	EPI_ISL_2107448		New South Wales Health Pathology Royal Prince Alfred Hospital	Microbiology RPAH	Foster et al
hCoV-19/Algeria/36417/2021	EPI_ISL_3161808		NIC, Viral Respiratory Unit	Virology Departement	Alia Grad et al
hCoV-19/Barbados/67697/2021	EPI_ISL_2621679		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies	Nikita S. D. Sahadeo et al
hCoV-19/NewZealand/21MV0524/2021	EPI_ISL_2964923		Middlemore Hospital	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al
hCoV-19/Canada/AB-ABPHL-27122/2021	EPI_ISL_3524985		Edmonton Provincial Lab	Public Health Agency of Canada (PHAC) National Microbiology Laboratory	Buss et al
hCoV-19/Denmark/DCGC-156334/2021	EPI_ISL_3567913		Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium et al
hCoV-19/Uganda/UG673/2021	EPI_ISL_3546299		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
hCoV-19/Norway/Ahus-1278/2021	EPI_ISL_3655776		Dept. of Microbiology and Infection Control, Akershus University Hospital HF	Dept. of Microbiology and Infection Control, Akershus University Hospital HF	Hege Vangstein Aamot et al
hCoV-19/DRC/RDC-377/2021	EPI_ISL_2966644		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/Uganda/UG721/2021	EPI_ISL_3546319		MRC/UVRI & LSHTM Uganda Research Unit , Rakai Health Sciences Program	MRC/UVRI & LSHTM Uganda Research Unit , Rakai Health Sciences Program	Matthew Cotten Dan Lule Bugembe et al
hCoV-19/SouthSudan/UG695/2021	EPI_ISL_3546334		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
hCoV-19/SouthSudan/UG688/2021	EPI_ISL_3546327		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
hCoV-19/SouthSudan/UG693/2021	EPI_ISL_3546332		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
hCoV-19/Uganda/UG621/2021	EPI_ISL_3149362		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
hCoV-19/Uganda/UG505/2021	EPI_ISL_2690483		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories, Rakai Health Sciences Program	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
hCoV-19/DRC/RDC-365/2021	EPI_ISL_2966638		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/Rwanda/NRLNAT4188/2021	EPI_ISL_3012221		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Rwanda/NRLNAT4183/2021	EPI_ISL_3012216		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Uganda/UG610/2021	EPI_ISL_3149390		MRC/UVRI & LSHTM Uganda Research Unit , Rakai Health Sciences Program	MRC/UVRI & LSHTM Uganda Research Unit , Rakai Health Sciences Program	Matthew Cotten Dan Lule Bugembe et al
hCoV-19/Uganda/UG718/2021	EPI_ISL_3546316		MRC/UVRI & LSHTM Uganda Research Unit , Rakai Health Sciences Program	MRC/UVRI & LSHTM Uganda Research Unit , Rakai Health Sciences Program	Matthew Cotten Dan Lule Bugembe et al
hCoV-19/Uganda/UG699/2021	EPI_ISL_3546312		MRC/UVRI & LSHTM Uganda Research Unit , Rakai Health Sciences Program	MRC/UVRI & LSHTM Uganda Research Unit , Rakai Health Sciences Program	Matthew Cotten Dan Lule Bugembe et al
hCoV-19/Uganda/UG684/2021	EPI_ISL_3546310		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
hCoV-19/Uganda/UG669/2021	EPI_ISL_3149403		MRC/UVRI & LSHTM Uganda Research Unit , Rakai Health Sciences Program	MRC/UVRI & LSHTM Uganda Research Unit , Rakai Health Sciences Program	Matthew Cotten Dan Lule Bugembe et al
hCoV-19/SouthSudan/UG685/2021	EPI_ISL_3546324		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
hCoV-19/DRC/RDC-368/2021	EPI_ISL_2966639		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/USA/MN-CDC-IBX807890436160/2021	EPI_ISL_3020050	MZ593887.1	Infinity Biologix	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Uganda/UG516/2021	EPI_ISL_2690492		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories, Rakai Health Sciences Program	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
hCoV-19/Botswana/R23B82_BHP_AAB117655/2021	EPI_ISL_3453911		Botswana Harvard HIV Reference Laboratory	Botswana Harvard HIV Reference Laboratory	Sikhulile Moyo et al
hCoV-19/Botswana/R23B88_BHP_AAB117692/2021	EPI_ISL_3453916		Botswana Harvard HIV Reference Laboratory	Botswana Harvard HIV Reference Laboratory	Sikhulile Moyo et al
hCoV-19/Botswana/R23B83_BHP_AAB117715/2021	EPI_ISL_3453912		Botswana Harvard HIV Reference Laboratory	Botswana Harvard HIV Reference Laboratory	Sikhulile Moyo et al
hCoV-19/Botswana/R21B38_BHP_AAB79086/2021	EPI_ISL_2868375		Botswana Harvard HIV Reference Laboratory	Botswana Harvard HIV Reference Laboratory	Sikhulile Moyo et al
hCoV-19/Botswana/R21B55_BHP_AAB79002/2021	EPI_ISL_2868376		Botswana Harvard HIV Reference Laboratory	Botswana Harvard HIV Reference Laboratory	Sikhulile Moyo et al
hCoV-19/Botswana/R21B44_BHP_AAB78977/2021	EPI_ISL_2868391		Botswana Harvard HIV Reference Laboratory	Botswana Harvard HIV Reference Laboratory	Sikhulile Moyo et al
hCoV-19/Botswana/R23B84_BHP_AAB117689/2021	EPI_ISL_3453913		Botswana Harvard HIV Reference Laboratory	Botswana Harvard HIV Reference Laboratory	Sikhulile Moyo et al
hCoV-19/Botswana/R23B76_BHP_000642796/2021	EPI_ISL_3453906		Maun Reference Hospital laboratory	Botswana Harvard HIV Reference Laboratory	Sikhulile Moyo et al
hCoV-19/Sweden/03_SE600_000200110516/2021	EPI_ISL_3505278		Akademiska Sjukhuset, Clinical Microbiology and Hospital Hygiene	Akademiska Sjukhuset, Clinical Microbiology and Hospital Hygiene	Rene Kaden et al
hCoV-19/Burundi/UG524/2021	EPI_ISL_2928008		National Institute of Public Health, Bujumbura,Burundi, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, National Institute of Public Health	Jerome Nkurunziza et al
hCoV-19/DRC/INRB-RDC-553/2021	EPI_ISL_3086928		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/SouthSudan/UG706/2021	EPI_ISL_3546343		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
hCoV-19/SouthSudan/UG700/2021	EPI_ISL_3546337		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
hCoV-19/Australia/SA0800/2021	EPI_ISL_2839998		SA Pathology	SA Pathology	Caitlin Selway et al
hCoV-19/SouthSudan/UG697/2021	EPI_ISL_3546336		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
hCoV-19/Uganda/UG674/2021	EPI_ISL_3546300		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
hCoV-19/Uganda/UG676/2021	EPI_ISL_3546302		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
hCoV-19/SouthSudan/UG692/2021	EPI_ISL_3546331		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
hCoV-19/SouthSudan/UG703/2021	EPI_ISL_3546340		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
hCoV-19/SouthSudan/UG576/2021	EPI_ISL_2928023		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
hCoV-19/Canada/QC-L00359824001/2021	EPI_ISL_3458965		Laboratoire de santé publique du Québec	Laboratoire de santé publique du Québec	Sandrine Moreira et al
hCoV-19/HongKong/CM21000434/2021	EPI_ISL_3019486		Temporary Specimen Collection Centre at the AsiaWorld-Expo	Hong Kong Department of Health	Alan K.L. Tsang et al
hCoV-19/CostaRica/INC-0898/2021	EPI_ISL_3464523		AREA DE SALUD SIQUIRRES	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-1001/2021	EPI_ISL_3639156		AREA DE SALUD LIMON	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-1000/2021	EPI_ISL_3639151		HOSPITAL MONSEÑOR SANABRIA	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0949/2021	EPI_ISL_3638846		HOSPITAL UPALA	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0983/2021	EPI_ISL_3639052		AREA DE SALUD CAÑAS	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0876/2021	EPI_ISL_3298364		AREA DE SALUD PAQUERA	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0747/2021	EPI_ISL_3026022		AREA DE SALUD EL GUARCO [EL GUARCO/CARTAGO]	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/Guatemala/ASI4098/2021	EPI_ISL_3527805		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/Guatemala/ASI4116/2021	EPI_ISL_3527816		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/Australia/WA723/2021	EPI_ISL_2098723		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
hCoV-19/USA/MD-CDC-LC0157865/2021	EPI_ISL_3606371		Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/TX-CDC-FG-062262/2021	EPI_ISL_3397240	MZ802206.1	Fulgent Genetics	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/IN-INSPHL-07728/2021	EPI_ISL_3604032		IN State Department of Health Laboratory Services	IN State Department of Health Laboratory Services	Cassandra Campion et al
hCoV-19/Mexico/CMX-INMEGEN-18-303/2021	EPI_ISL_3160920		Instituto Nacional de Medicina Genomica	Instituto Nacional de Medicina Genomica	Cedro-Tanda A et al
hCoV-19/CostaRica/INC-0746/2021	EPI_ISL_3026021		HOSPITAL SAN RAFAEL DE ALAJUELA [ALAJUELA/ALAJUELA]	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/USA/VT-CDCBI-CRSP_HLRUZES3DNPBQBXH/2021	EPI_ISL_3399632	MZ720685.1	Broad Institute Clinical Research Sequencing Platform	Infectious Disease Program, Broad Institute of Harvard and MIT	Siddle et al
hCoV-19/Estonia/16738744/2021	EPI_ISL_3507144		Synlab Eesti OÜ	1. Laboratory of Communicable Diseases (Estonia); 2. Eurofins Genomics Europe Sequencing GmbH	Liidia Dotsenko et al.
hCoV-19/Estonia/RC0031118/2021	EPI_ISL_3507228		Synlab Eesti OÜ	1. Laboratory of Communicable Diseases (Estonia); 2. Eurofins Genomics Europe Sequencing GmbH	Liidia Dotsenko et al.
hCoV-19/Mexico/CHH_IBT_IMSS_2311/2021	EPI_ISL_3347627		Centro de Investigación Biomédica del Noreste (CIBIN)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/HID-INMEGEN-20-233/2021	EPI_ISL_3503579		Salud Digna	Instituto Nacional de Medicina Genomica	Cedro-Tanda A et al
hCoV-19/USA/NM-NMDOH-2021137884/2021	EPI_ISL_3229316	MZ734557.1	New Mexico Department of Health Scientific Laboratory	New Mexico Department of Health Scientific Laboratory	Ellie Johnson et al
hCoV-19/USA/CO-CDC-MMB09451196/2021	EPI_ISL_3428275	MZ810387.1	Mako Medical	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Germany/BW-RKI-I-186135/2021	EPI_ISL_2956308		SYNLAB MVZ Leinfelden-Echterdingen	Robert Koch Institute	?
hCoV-19/Mexico/CHH-LANGEBIO_IMSS_1694/2021	EPI_ISL_2942783		Centro de Investigacion Biomedica del Noreste (CIBIN)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/AntiguaandBarbuda/79640/2021	EPI_ISL_3655542		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/Gambia/47753/2021	EPI_ISL_3132305		MRCG at LSHTM Genomics lab	MRCG at LSHTM Genomics lab	Abdul Karim sesay et al
hCoV-19/Luxembourg/LNS9241100/2021	EPI_ISL_3334656		Laboratoire national de sante, 1 rue Louis Rech, L-3555 Dudelange, Luxembourg	Laboratoire national de sante, Microbiology, Microbial Genomics Platform	Anke Wienecke-Baldacchino et al
hCoV-19/SriLanka/aicbu612/2021	EPI_ISL_3275456		Allergy, Immunology and Cell Biology Unit (AICBU)	Allergy, Immunology and Cell Biology Unit (AICBU)	Chandima Jeewandara et al
hCoV-19/SriLanka/aicbu935/2021	EPI_ISL_3534278		Allergy, Immunology and Cell Biology Unit (AICBU)	Allergy, Immunology and Cell Biology Unit (AICBU)	Chandima Jeewandara et al
hCoV-19/Pakistan/PPHRL-02/2021	EPI_ISL_3371849		Provincial Public Health Reference Laboratory (PPHRL)	Provincial Public Health Reference Laboratory (PPHRL)	Mariam Javed et al
hCoV-19/Bahrain/720747686/2021	EPI_ISL_3663253		Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	Alwasti et al
hCoV-19/Malta/MDxMDH527/2021	EPI_ISL_2988655		Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	G Zahra et al
hCoV-19/Guadeloupe/IPP20196/2021	EPI_ISL_3542968		Labo Analyses Med	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/Guadeloupe/IPP20017/2021	EPI_ISL_3542886		Hospital	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/France/ARA-HCL021142211701/2021	EPI_ISL_3634183		CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
hCoV-19/SriLanka/aicbu648/2021	EPI_ISL_3275473		Allergy, Immunology and Cell Biology Unit (AICBU)	Allergy, Immunology and Cell Biology Unit (AICBU)	Chandima Jeewandara et al
hCoV-19/SouthAfrica/NICD-R11618/2021	EPI_ISL_3451630		National Institute for Communicable Diseases of the National Health Laboratory Service	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG et al
hCoV-19/Kenya/C103163/2021	EPI_ISL_3049817		KEMRI-Wellcome Trust Research Programme,Kilifi	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al
hCoV-19/Zambia/ZMB-98254/2021	EPI_ISL_2803723		University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe et al
hCoV-19/Zambia/ZMB-98313/2021	EPI_ISL_2803735		University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe et al
hCoV-19/Zambia/ZMB-98146/2021	EPI_ISL_2803699		University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe et al
hCoV-19/Zambia/ZMB-98144/2021	EPI_ISL_2803697		University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe et al
hCoV-19/Zambia/ZMB-98119/2021	EPI_ISL_2803686		University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe et al
hCoV-19/England/PLYM-199F9F0/2021	EPI_ISL_3094837		Lighthouse Laboratory Plymouth	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Lighthouse Laboratory Plymouth et al
